name;price;image_url;quantity;description;category;tax;power
WINO BERONIA RIOJA VIURA B/W 0,75L;34.90;https://alkoholeswiata24.pl/gfx/mini/1664444801.2262.jpg, https://alkoholeswiata24.pl/gfx/1664444801.2262.jpg;0;Wino Beronia Rioja Viura białe, wytrawne 0,75l Hiszpania;wino białe;1;Moc: 0%
WINO BAREFOOT MERLOT CZ/PW 0.75L 13.5%;26.49;https://alkoholeswiata24.pl/gfx/mini/1537951767.1595.jpg, https://alkoholeswiata24.pl/gfx/1537951767.1595.jpg;0;;wino czerwone;1;Moc:13.5%
WINO BERCE MALVAZIJA B/W 0,75L SŁOWENIA;49.99;https://alkoholeswiata24.pl/gfx/mini/1659099080.8334.jpg, https://alkoholeswiata24.pl/gfx/1659099080.8334.jpg;2;Wspaniałe białe, wytrawne wino produkowane w Słowenii. Bardzo wysoka jakość wina połączona z doskonałym, lekkim smakiem i przyjemnym aromatem. Zachwyca swoim świeżym i owocowym charakterem. Wyselekcjonowane winogrona na początku przechodzą macerację trwającą około 6 godzin, a następnie są prasowane i fermentowane w niskiej temperaturze. Po fermentacji wino dojrzewa co najmniej 6 miesięcy w kadziach ze stali nierdzewnej.  : Kwiatowy bukiet z egzotycznymi owocami i nutą białego pieprzu.  : Świeży i orzeźwiający, brzoskwinia, ananas, grejpfrut, nuta miodu. : Długi i przyjemny. Wino Berce Malvazija wspaniale komponuje się z rybami, daniami kuchni włoskiej, serami i kremowymi sosami.;wino białe;1;Moc: 0%
WINO BARBERA DELL EMILIA DECANTA IGT CZ/W 14% 0,75L;69.00;https://alkoholeswiata24.pl/gfx/mini/1674121329.5416.jpg, https://alkoholeswiata24.pl/gfx/1674121329.5416.jpg;3;Wino włoskie Barbera Dell Emilia Decanta IGT czerwone, wytrawne 0,75l 14%;wino czerwone;1;Moc:14%
WINO BENVENUTO PINOT GRIGIO IGP DELL EMILIA 0,75L B/W WŁOCHY;29.00;https://alkoholeswiata24.pl/gfx/mini/1690288043.0572.jpg, https://alkoholeswiata24.pl/gfx/1690288043.0572.jpg;0;Wino Benvenuto Pinot Grigio IGP Della Emilia - białe, wytrawne Benvenuto Pinot Grigio IGP Della Emilia to białe, wytrawne wino produkowane w słonecznej Apulii we Włoszech. Powstaje z wyselekcjonowanych winogron szczepu Pinot Grigio. Charakteryzuje się lekkim owocowym bukietem. W aromacie wyczuwalne nuty świeżych owoców jak jabłka, brzoskwinie z niuansami ziół śródziemnomorskich. Zabutelkowane z mocą 12% abv.  Wino Benvenuto Pinot Grigio podawać w temperaturze 6-8°C w towarzystwie ryb, białych mięs i sałatek.;wino białe;1;Moc: 0%
WINO BARBANERA PUGLIA NERO DI TROIA ROSSO 0.75L CZ/W WŁOCHY;37.90;https://alkoholeswiata24.pl/gfx/mini/1672230432.2656.jpg, https://alkoholeswiata24.pl/gfx/1672230432.2656.jpg;10;Wino Barbanera Puglia Nero Di Troia Rosso czerwone, wytrawne 0,75l;wino czerwone;1;Moc: 0%
WINO BARBANERA PUGLIA APPASSIMENTO 0,75L CZ/W WŁOCHY;41.50;https://alkoholeswiata24.pl/gfx/mini/1534410014.9068.jpg, https://alkoholeswiata24.pl/gfx/1534410014.9068.jpg;0;;wino czerwone;1;Moc: 0%
WINO BORDEAUX GINESTET B/PS 0.75L FRANCJA;37.90;https://alkoholeswiata24.pl/gfx/mini/1669718236.4514.jpg, https://alkoholeswiata24.pl/gfx/1669718236.4514.jpg;5;Wino Bordeaux Ginestet białe, półsłodkie 0,75l;wino białe;1;Moc: 0%
WINO BARBANERA ALCHYMIA PRIMITIVO PUGLIA 0,75L CZ/W WŁOCHY;69.99;https://alkoholeswiata24.pl/gfx/mini/1532521122.4.jpg, https://alkoholeswiata24.pl/gfx/1532521122.4.jpg;0;;wino czerwone;1;Moc: 0%
WINO CAMPO VIEJO RIOJA SEMIDULCE B/PS 0.75L HISZPANIA;33.51;https://alkoholeswiata24.pl/gfx/mini/1599831562.8795.jpg, https://alkoholeswiata24.pl/gfx/1599831562.8795.jpg;0;;wino białe;1;Moc: 0%
